New Delhi,28.613939,77.209021,Hijacking,Airports & Aircraft
Samastipur,25.862968,85.781026,Bombing,Government
New Delhi,28.613939,77.209021,Bombing,Airports & Aircraft
Bombay,19.075984,72.877656,Hijacking,Airports & Aircraft
Assam state,26.343936,92.674764,Armed Assault,Police
Imphal,24.817011,93.936844,Assassination,Government
Manipur state,24.808104,93.937485,Armed Assault,Police
Mizoram territory (Northeast),23.164543,92.937574,Assassination,Government
near Assam border,26.105819,89.784392,Armed Assault,Government
Aizwal town*,23.727107,92.717639,Infrastructure Attack,Police
Aizwal town*,23.727107,92.717639,Infrastructure Attack,Telecommunication
Amapur town,22.152113,77.518946,Unknown,Private Citizens & Property
Raisikah,Unknown,Unknown,Armed Assault,Police
Champai,50.086052,5.141577,Armed Assault,Police
"Mizoram, Aizawl",23.727107,92.717639,Assassination,Government
Jameshedpur,22.804567,86.202875,Bombing,Religious Figures/Institutions
New Delhi,28.613939,77.209021,Armed Assault,Government
New Delhi,28.613939,77.209021,Armed Assault,Police
Jamshedpur,22.804567,86.202875,Bombing,Private Citizens & Property
Madras,13.08268,80.270718,Bombing,Transportation
Manipur,24.663717,93.906269,Armed Assault,Police
Uttar Pradesh State,26.472096,83.785726,Assassination,Government
Manipur,24.663717,93.906269,Assassination,Government
Bihar state,25.300691,85.681963,Armed Assault,Police
